keys,en,zh_CN
Squeakzilla,Squeakzilla,吱斯拉
Fanged Death,Fanged Death,獠牙死神
The Hippocrate,The Hippocrate,伪誓河马
Doomduck,Doomduck,末日鸭
Bacon,Bacon,培根
Honk,Honk,嘎嘎
Bonk,Bonk,砰砰
Nope Rope,Nope Rope,不不蛇
Croak,Croak,呱
Spicy,Spicy,辣个
Popsicle,Popsicle,冰棍兵
Dodo,Dodo,渡渡鸟
Bow,Bow,弓箭
Mortar Launcher,Mortar Launcher,迫击炮
Frost Bow,Frost Bow,霜弓
Poison Bow,Poison Bow,毒弓
Flamecaster,Flamecaster,喷火法器
Storm Hammer,Storm Hammer,雷锤
Ballista,Ballista,弩炮
Immolation,Immolation,自燃
Shockwave Axe,Shockwave Axe,冲波斧
Moon Glaive,Moon Glaive,月牙刃
Death Engine,Death Engine,死亡机器
Magic Missile,Magic Missile,魔法飞弹
Boulder,Boulder,巨石
Magic Bolt,Magic Bolt,魔法箭
Chaos Orb,Chaos Orb,混沌球
Throwing Axes,Throwing Axes,飞斧
Chaos Skulls,Chaos Skulls,混沌骷髅
Suckula,Suckula,吸血鬼浪
Missile Barrage,Missile Barrage,导弹齐射
Seeker Axe,Seeker Axe,追踪斧
Steam Cannon,Steam Cannon,蒸汽炮
Demon Eye,Demon Eye,魔眼
Impaler,Impaler,穿刺者
Chaos Swarm,Chaos Swarm,混沌群
Catapult,Catapult,投石车
Slap,Slap,大耳光
Crippler,Crippler,致残器
Lifeleecher,Lifeleecher,汲命者
Spell Glaive,Spell Glaive,法术镰刀
Glaive Thrower,Glaive Thrower,掷刃器
Spikewheel Launcher,Spikewheel Launcher,刺轮发射器
Meatapult,Meatapult,肉弹炮
Arcane Blaster,Arcane Blaster,奥法炮
Quills,Quills,刺针
Living Spittle,Living Spittle,活体毒液
Poison Bomb,Poison Bomb,毒弹
Serpent,Serpent,毒蛇
Overloaded Catapult,Overloaded Catapult,超载投石车
Chaos Claw,Chaos Claw,混沌爪
Net Thrower,Net Thrower,投网器
Thornburst,Thornburst,荆棘爆
Chaotic Spirit,Chaotic Spirit,乱魂
Energy Pulse,Energy Pulse,能量脉冲
Cluster Rockets,Cluster Rockets,集束火箭
Frost Bomb,Frost Bomb,冰霜炸弹
Bouncy Cannonball,Bouncy Cannonball,弹弹炮弹
Soulstealer,Soulstealer,夺魂者
Splasher,Splasher,泼溅器
Fire Bow,Fire Bow,火矢弓
Chaos Web,Chaos Web,混沌蛛网
Magic Claw,Magic Claw,魔爪
Liquid Fire Hurler,Liquid Fire Hurler,液火投掷器
Boulder Toss,Boulder Toss,抛石
Bloody Spikes,Bloody Spikes,血刺
Shroom Doom,Shroom Doom,蘑菇末日
Flame Generator,Flame Generator,烈焰炉
Firebreather,Firebreather,喷火兽
Lavaspitter,Lavaspitter,熔岩喷吐者
Frostbolt,Frostbolt,寒冰箭
Living Ice,Living Ice,活冰
Ice Generator,Ice Generator,冰霜炉
Ice Spears,Ice Spears,冰矛
Knives,Knives,匕首雨
Blaster,Blaster,爆破枪
Bandit Sniper,Bandit Sniper,流匪狙击手
Bombs,Bombs,炸弹
Sting,Sting,毒刺
Chaos Skull Bomb,Chaos Skull Bomb,混沌颅骨弹
Icebreather,Icebreather,寒气吐息者
Frostwave,Frostwave,霜波
Flamewave,Flamewave,火浪
Chaotic Spirit Bolt,Chaotic Spirit Bolt,乱魂箭
Manabolt,Manabolt,法力箭
Squirm,Squirm,蠕动君
Immolation Aura,Immolation Aura,自焚光环
Boom Bloom,Boom Bloom,轰轰花
Quill Burst,Quill Burst,刺羽爆
Arcane Burst,Arcane Burst,奥法爆
Meteor Barrage,Meteor Barrage,陨石齐射
Ale Launcher,Ale Launcher,烈酒炮
Chaos Bolt,Chaos Bolt,混沌箭
Rotating Orb of Lightning,Rotating Orb of Lightning,旋转雷球
Lightning Generator,Lightning Generator,闪电炉
Flame Nova,Flame Nova,火焰新星
Shocker,Shocker,电击器
Tangle,Tangle,缠藤
+10% Damage,+10% Damage,+10%全伤
Improved Piercing Attacks,Improved Piercing Attacks,穿刺强化
Improved Siege Attacks,Improved Siege Attacks,攻城强化
